Date,Open,High,Low,Close
07/01/2009,"925.03","931.92","920.82","923.33"
06/30/2009,"926.79","930.01","912.86","919.32"
06/29/2009,"916.00","927.99","916.18","927.23"
06/26/2009,"916.00","922.00","913.03","918.90"
06/25/2009,"897.59","921.42","896.27","920.26"
06/24/2009,"901.60","910.85","896.31","900.94"
06/23/2009,"895.12","898.69","888.86","895.10"
06/22/2009,"910.36","918.13","893.04","893.04"
06/19/2009,"926.15","927.09","915.80","921.23"
06/18/2009,"911.73","921.93","907.94","918.37"
06/17/2009,"911.13","918.44","903.78","910.71"
06/16/2009,"927.58","928.00","911.60","911.97"
06/15/2009,"934.87","942.45","919.65","923.72"
06/12/2009,"939.25","946.30","935.66","946.21"
06/11/2009,"941.17","956.23","939.04","944.89"
06/10/2009,"942.73","949.77","927.97","939.15"
06/09/2009,"943.38","946.92","936.15","942.43"
06/08/2009,"934.27","946.33","926.44","939.14"
06/05/2009,"951.97","951.69","934.13","940.09"
06/04/2009,"935.89","942.47","929.32","942.46"
06/03/2009,"936.55","942.51","923.85","931.76"
06/02/2009,"939.87","949.38","938.46","944.74"
06/01/2009,"932.42","947.77","923.26","942.87"
05/29/2009,"911.62","920.02","903.56","919.14"
05/28/2009,"899.68","909.45","887.60","906.83"
05/27/2009,"911.02","913.84","891.87","893.06"
05/26/2009,"880.24","911.76","881.46","910.33"
05/22/2009,"890.65","896.65","883.75","887.00"
05/21/2009,"892.02","900.42","879.61","888.33"
05/20/2009,"917.00","924.60","901.37","903.47"
05/19/2009,"909.03","916.39","905.22","908.13"
05/18/2009,"893.68","910.00","886.07","909.71"
05/15/2009,"891.06","896.97","878.94","882.88"
05/14/2009,"884.77","898.36","882.52","893.07"
05/13/2009,"894.27","905.40","882.80","883.92"
05/12/2009,"914.30","915.57","896.46","908.35"
05/11/2009,"913.36","922.90","908.68","909.24"
05/08/2009,"919.22","930.17","909.03","929.23"
05/07/2009,"929.41","929.58","901.36","907.39"
05/06/2009,"914.48","920.28","903.95","919.53"
05/05/2009,"904.86","907.70","897.34","903.80"
05/04/2009,"885.58","907.85","879.21","907.24"
05/01/2009,"873.00","880.48","866.10","877.52"
04/30/2009,"882.91","888.70","868.51","872.81"
04/29/2009,"862.17","882.06","856.85","873.64"
04/28/2009,"847.89","864.48","847.12","855.16"
04/27/2009,"854.65","868.83","854.65","857.51"
04/24/2009,"859.45","871.80","853.91","866.23"
04/23/2009,"847.15","852.87","835.45","851.92"
04/22/2009,"841.58","861.78","840.57","843.55"
04/21/2009,"827.46","850.09","826.83","850.08"
04/20/2009,"854.15","868.27","832.39","832.39"
04/17/2009,"870.59","875.63","860.87","869.60"
04/16/2009,"858.72","870.35","847.04","865.30"
04/15/2009,"837.66","852.93","835.58","852.06"
04/14/2009,"849.79","856.88","840.25","841.50"
04/13/2009,"847.32","864.31","845.35","858.73"
04/09/2009,"845.37","856.91","829.29","856.56"
04/08/2009,"819.48","828.42","814.84","825.16"
04/07/2009,"834.12","834.12","814.53","815.55"
04/06/2009,"832.49","839.75","822.79","835.48"
04/03/2009,"835.67","842.50","826.70","842.50"
04/02/2009,"830.66","845.61","814.53","834.38"
04/01/2009,"785.01","813.62","783.32","811.08"
